                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.16886,                0.98722,                      1,                0.40224,             0.00023474,             0.00023474,             0.00023474
                      1,                0.02285,                0.98083,                      1,                0.37977,             0.00042594,             0.00042594,             0.00042594
                      2,                0.01368,                0.98403,                      1,                0.37352,             0.00057001,             0.00057001,             0.00057001
                      3,                0.00679,                0.99521,                      1,                0.36686,             0.00050194,             0.00050194,             0.00050194
                      4,                0.00864,                0.99681,                      1,                0.36714,             0.00050194,             0.00050194,             0.00050194
                      5,                0.00359,                      1,                      1,                0.36417,             0.00043126,             0.00043126,             0.00043126
                      6,                0.00132,                      1,                      1,                 0.3639,             0.00036057,             0.00036057,             0.00036057
                      7,                0.00107,                      1,                      1,                0.36392,             0.00028988,             0.00028988,             0.00028988
                      8,                0.00342,                      1,                      1,                0.36395,              0.0002192,              0.0002192,              0.0002192
                      9,                0.00096,                      1,                      1,                0.36393,             0.00014851,             0.00014851,             0.00014851
